City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,vikulovo,56.8167,70.6107,35.1,98,100,7.36,RU,1711678004
343,ulladulla,-35.35,150.4667,80.76,62,9,10.6,AU,1711678004
344,isiro,2.7739,27.616,67.6,98,100,3.09,CD,1711678005
345,san jeronimo de juarez,17.1333,-100.4667,73.44,79,0,1.23,MX,1711678005
346,kiunga,-6.1219,141.2906,74.62,100,100,3.36,PG,1711678005
347,bhuban,20.8833,85.8333,85.66,55,2,2.55,IN,1711678005
348,isla mujeres,21.2311,-86.731,75.25,56,0,19.26,MX,1711678005
349,vargashi,55.3556,65.8467,33.1,99,100,5.48,RU,1711678006
350,port saint john's,-31.6229,29.5448,71.26,86,70,2.08,ZA,1711678006
351,chake chake,-5.2459,39.7666,80.71,77,99,4.03,TZ,1711678006
352,regina,50.4501,-104.6178,34.03,59,75,25.32,CA,1711677829
353,nacala,-14.5428,40.6728,74.23,95,48,8.1,MZ,1711678006
354,san antonio de pale,-1.4014,5.6325,84.67,77,100,11.05,GQ,1711677724
355,korla,41.7597,86.1469,60.53,25,24,4.76,CN,1711678007
356,peniche,39.3558,-9.3811,52.11,79,100,17.96,PT,1711678007
357,geraldton,-28.7667,114.6,73.81,53,6,8.05,AU,1711677842
358,khulm,36.6974,67.6983,54.59,68,100,4.9,AF,1711678007
359,el granada,37.5027,-122.4694,57.81,75,0,12.66,US,1711678008
360,petrosino,37.7077,12.4999,59.47,61,100,23.44,IT,1711678008
